,Địa điểm,total_case,status,total_positive_case
22,Hồ Chí Minh,6358,1.0,5755
7,Bắc Giang,5760,1.0,2607
9,Bắc Ninh,1622,1.0,625
20,Hải Dương,813,1.0,12
17,Hà Nội,725,1.0,213
54,Đà Nẵng,714,1.0,64
2,Bình Dương,680,1.0,635
35,Phú Yên,245,1.0,11
26,Long An,207,1.0,4
23,Khánh Hòa,178,1.0,50
46,Tiền Giang,173,1.0,11
19,Hưng Yên,166,1.0,99
49,Tây Ninh,153,1.0,63
1,Bà Rịa - Vũng Tàu,152,1.0,29
36,Quảng Nam,133,1.0,117
31,Nghệ An,127,1.0,14
18,Hà Tĩnh,127,1.0,119
37,Quảng Ngãi,124,1.0,12
51,Vĩnh Phúc,113,1.0,100
29,Lạng Sơn,109,1.0,8
38,Quảng Ninh,99,1.0,5
24,Kiên Giang,94,1.0,70
43,Thái Bình,76,1.0,1
53,Điện Biên,59,1.0,65
16,Hà Nam,56,1.0,12
6,Bạc Liêu,56,1.0,3
0,An Giang,55,1.0,46
32,Ninh Bình,51,1.0,1
14,Hoà Bình,39,1.0,6
12,Cần Thơ,35,1.0,1
13,Gia Lai,31,1.0,4
42,Thanh Hóa,31,1.0,21
50,Vĩnh Long,29,1.0,13
30,Nam Định,26,1.0,122
4,Bình Thuận,25,1.0,14
21,Hải Phòng,24,1.0,12
10,Bến Tre,20,1.0,2
40,Sóc Trăng,19,1.0,1
47,Trà Vinh,19,1.0,111
39,Quảng Trị,17,1.0,19
5,Bình Định,15,1.0,14
33,Ninh Thuận,13,1.0,3
11,Cà Mau,9,1.0,1
44,Thái Nguyên,9,1.0,1
34,Phú Thọ,8,1.0,217
45,Thừa Thiên Huế,7,1.0,168
27,Lào Cai,6,1.0,4
52,Yên Bái,5,1.0,4
8,Bắc Kạn,5,1.0,5
28,Lâm Đồng,4,1.0,91
15,Hà Giang,4,1.0,1
3,Bình Phước,3,1.0,3
25,Lai Châu,1,1.0,196
48,Tuyên Quang,1,1.0,16
41,Sơn La,1,1.0,5
